"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","commonness","catch","cfr",413,413,-19.5499075012788,412,1.08e-60,6.48e-60,"****"
"2","commonness","catch","cons",413,413,14.43743055544,412,1.59e-38,9.54e-38,"****"
"3","commonness","catch","sold",413,413,-7.51751038996655,412,3.52e-13,2.11e-12,"****"
"4","commonness","cfr","cons",413,413,21.9676474481309,412,2.31e-71,1.39e-70,"****"
"5","commonness","cfr","sold",413,413,2.43545593780302,412,0.015,0.092,"ns"
"6","commonness","cons","sold",413,413,-9.05374375458044,412,5.57e-18,3.34e-17,"****"
"7","commonness","catch","cfr",267,267,-15.9678116961271,266,1.04e-40,6.24e-40,"****"
"8","commonness","catch","cons",267,267,14.3169998061987,266,7.38e-35,4.43e-34,"****"
"9","commonness","catch","sold",267,267,-9.57778110081925,266,7.34e-19,4.4e-18,"****"
"10","commonness","cfr","cons",267,267,18.7990158210406,266,9.69e-51,5.81e-50,"****"
"11","commonness","cfr","sold",267,267,-1.86687025647705,266,0.063,0.378,"ns"
"12","commonness","cons","sold",267,267,-10.3336541452112,266,2.9e-21,1.74e-20,"****"
